Category,Year,King County,Snohomish County
Robbery,1990,272,43
Robbery,1990,272,0
Robbery,1990,272,41
Robbery,1990,272,14
Robbery,1990,272,4.9
Robbery,1990,272,24
Robbery,1990,272,51.5
Robbery,1990,272,
Robbery,1990,272,0
Robbery,1990,62,248
Robbery,1990,62,0
Robbery,1990,62,43
Robbery,1990,62,0
Robbery,1990,62,41
Robbery,1990,62,14
Robbery,1990,62,4.9
Robbery,1990,62,24
Robbery,1990,62,51.5
Robbery,1990,62,
Robbery,1990,62,0
Robbery,1990,5.8,248
Robbery,1990,5.8,0
Robbery,1990,5.8,43
Robbery,1990,5.8,0
Robbery,1990,5.8,41
Robbery,1990,5.8,14
Robbery,1990,5.8,4.9
Robbery,1990,5.8,24
Robbery,1990,5.8,51.5
Robbery,1990,5.8,
Robbery,1990,5.8,0
Robbery,1990,110,248
Robbery,1990,110,0
Robbery,1990,110,43
Robbery,1990,110,0
Robbery,1990,110,41
Robbery,1990,110,14
Robbery,1990,110,4.9
Robbery,1990,110,24
Robbery,1990,110,51.5
Robbery,1990,110,
Robbery,1990,110,0
Robbery,1990,53.4,248
Robbery,1990,53.4,0
Robbery,1990,53.4,43
Robbery,1990,53.4,0
Robbery,1990,53.4,41
Robbery,1990,53.4,14
Robbery,1990,53.4,4.9
Robbery,1990,53.4,24
Robbery,1990,53.4,51.5
Robbery,1990,53.4,
Robbery,1990,53.4,0
Robbery,1990,,248
Robbery,1990,,0
Robbery,1990,,43
Robbery,1990,,0
Robbery,1990,,41
Robbery,1990,,14
Robbery,1990,,4.9
Robbery,1990,,24
Robbery,1990,,51.5
Robbery,1990,,
Robbery,1990,,0
Robbery,1990,0,248
Robbery,1990,0,0
Robbery,1990,0,43
Robbery,1990,0,0
Robbery,1990,0,41
Robbery,1990,0,14
Robbery,1990,0,4.9
Robbery,1990,0,24
Robbery,1990,0,51.5
Robbery,1990,0,
Robbery,1990,0,0
Arson,1990,758,175
Arson,1990,758,0
Arson,1990,758,6
Arson,1990,758,0
Arson,1990,758,
Arson,1990,758,0
Arson,1990,758,
Arson,1990,758,
Arson,1990,758,
Arson,1990,0,175
Arson,1990,0,0
Arson,1990,0,6
Arson,1990,0,0
Arson,1990,0,
Arson,1990,0,0
Arson,1990,0,
Arson,1990,0,
Arson,1990,0,
Arson,1990,64,175
Arson,1990,64,0
Arson,1990,64,6
Arson,1990,64,0
Arson,1990,64,
Arson,1990,64,0
Arson,1990,64,
Arson,1990,64,
Arson,1990,64,
Arson,1990,0,175
Arson,1990,0,0
Arson,1990,0,6
Arson,1990,0,0
Arson,1990,0,
Arson,1990,0,0
Arson,1990,0,
Arson,1990,0,
Arson,1990,0,
Arson,1990,,175
Arson,1990,,0
Arson,1990,,6
Arson,1990,,0
Arson,1990,,
Arson,1990,,0
Arson,1990,,
Arson,1990,,
Arson,1990,,
Arson,1990,0,175
Arson,1990,0,0
Arson,1990,0,6
Arson,1990,0,0
Arson,1990,0,
Arson,1990,0,0
Arson,1990,0,
Arson,1990,0,
Arson,1990,0,
Arson,1990,,175
Arson,1990,,0
Arson,1990,,6
Arson,1990,,0
Arson,1990,,
Arson,1990,,0
Arson,1990,,
Arson,1990,,
Arson,1990,,
Arson,1990,,175
Arson,1990,,0
Arson,1990,,6
Arson,1990,,0
Arson,1990,,
Arson,1990,,0
Arson,1990,,
Arson,1990,,
Arson,1990,,
Arson,1990,,175
Arson,1990,,0
Arson,1990,,6
Arson,1990,,0
Arson,1990,,
Arson,1990,,0
Arson,1990,,
Arson,1990,,
Arson,1990,,
Burglary,1990,21896,3818
Burglary,1990,21896,0
Burglary,1990,21896,152
Burglary,1990,21896,0
Burglary,1990,21896,122
Burglary,1990,21896,3.3
Burglary,1990,21896,58
Burglary,1990,21896,32
Burglary,1990,21896,
Burglary,1990,21896,0
Burglary,1990,21896,
Burglary,1990,21896,
Burglary,1990,21896,
Burglary,1990,0,3818
Burglary,1990,0,0
Burglary,1990,0,152
Burglary,1990,0,0
Burglary,1990,0,122
Burglary,1990,0,3.3
Burglary,1990,0,58
Burglary,1990,0,32
Burglary,1990,0,
Burglary,1990,0,0
Burglary,1990,0,
Burglary,1990,0,
Burglary,1990,0,
Burglary,1990,1114,3818
Burglary,1990,1114,0
Burglary,1990,1114,152
Burglary,1990,1114,0
Burglary,1990,1114,122
Burglary,1990,1114,3.3
Burglary,1990,1114,58
Burglary,1990,1114,32
Burglary,1990,1114,
Burglary,1990,1114,0
Burglary,1990,1114,
Burglary,1990,1114,
Burglary,1990,1114,
Burglary,1990,0,3818
Burglary,1990,0,0
Burglary,1990,0,152
Burglary,1990,0,0
Burglary,1990,0,122
Burglary,1990,0,3.3
Burglary,1990,0,58
Burglary,1990,0,32
Burglary,1990,0,
Burglary,1990,0,0
Burglary,1990,0,
Burglary,1990,0,
Burglary,1990,0,
Burglary,1990,355,3818
Burglary,1990,355,0
Burglary,1990,355,152
Burglary,1990,355,0
Burglary,1990,355,122
Burglary,1990,355,3.3
Burglary,1990,355,58
Burglary,1990,355,32
Burglary,1990,355,
Burglary,1990,355,0
Burglary,1990,355,
Burglary,1990,355,
Burglary,1990,355,
